127.0.0.1 - - [04/Jan/2022:08:37:43 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:37:48 +0900] "GET /Ex_1223_Borad/list.do HTTP/1.1" 200 3806
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:37:48 +0900] "GET /Ex_1223_Borad/img/btn_reg.gif HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:38:57 +0900] "GET /Ex_1223_Borad/view.do?idx=43&page= HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:38:57 +0900] "GET /Ex_1223_Borad/js/httpRequest.js HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:38:57 +0900] "GET /Ex_1223_Borad/img/btn_list.gif HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:38:57 +0900] "GET /Ex_1223_Borad/img/btn_delete.gif HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:38:57 +0900] "GET /Ex_1223_Borad/img/btn_reply.gif HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:39:06 +0900] "GET /Ex_1223_Borad/list.do?page= HTTP/1.1" 200 3806
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:39:08 +0900] "GET /Ex_1223_Borad/view.do?idx=5&page= HTTP/1.1" 200 2212
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:40:26 +0900] "POST /Ex_1223_Borad/board_reply.jsp HTTP/1.1" 200 1464
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:40:26 +0900] "GET /Ex_1223_Borad/img/btn_back.gif HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:40:33 +0900] "GET /Ex_1223_Borad/list.do HTTP/1.1" 200 3806
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:40:35 +0900] "GET /Ex_1223_Borad/list.do?page=2 HTTP/1.1" 200 3974
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:40:37 +0900] "GET /Ex_1223_Borad/view.do?idx=1&page=2 HTTP/1.1" 200 2222
